"","bin_val","Start","End","bin","Var2","Freq","Var1.1","Var2.1","Freq.1"
"1",13,2010-07-12,2010-07-27,"ndvi.13","buffalo",8,"13","0",227
"2",13,2010-07-12,2010-07-27,"ndvi.13","topi",14,"13","1",0
"3",13,2010-07-12,2010-07-27,"ndvi.13","zebra",11,"13","1",0
"4",13,2010-07-12,2010-07-27,"ndvi.13","wildebeest",2,"13","0",227
"5",13,2010-07-12,2010-07-27,"ndvi.13","hartebeest",7,"13","0",227
"6",13,2010-07-12,2010-07-27,"ndvi.13","gazelleThomsons",185,"13","1",0
"7",14,2010-07-28,2010-08-12,"ndvi.14","buffalo",3,"14","0",552
"8",14,2010-07-28,2010-08-12,"ndvi.14","wildebeest",1,"14","0",552
"9",14,2010-07-28,2010-08-12,"ndvi.14","hartebeest",10,"14","0",552
"10",14,2010-07-28,2010-08-12,"ndvi.14","topi",12,"14","1",1
"11",14,2010-07-28,2010-08-12,"ndvi.14","gazelleThomsons",481,"14","1",1
"12",14,2010-07-28,2010-08-12,"ndvi.14","zebra",46,"14","1",1
"13",15,2010-08-13,2010-08-28,"ndvi.15","wildebeest",7,"15","0",626
"14",15,2010-08-13,2010-08-28,"ndvi.15","zebra",29,"15","1",1
"15",15,2010-08-13,2010-08-28,"ndvi.15","buffalo",21,"15","0",626
"16",15,2010-08-13,2010-08-28,"ndvi.15","hartebeest",14,"15","0",626
"17",15,2010-08-13,2010-08-28,"ndvi.15","gazelleThomsons",552,"15","1",1
"18",15,2010-08-13,2010-08-28,"ndvi.15","topi",4,"15","1",1
"19",16,2010-08-29,2010-09-13,"ndvi.16","gazelleThomsons",676,"16","1",4
"20",16,2010-08-29,2010-09-13,"ndvi.16","zebra",66,"16","1",4
"21",16,2010-08-29,2010-09-13,"ndvi.16","wildebeest",7,"16","0",819
"22",16,2010-08-29,2010-09-13,"ndvi.16","topi",12,"16","1",4
"23",16,2010-08-29,2010-09-13,"ndvi.16","hartebeest",47,"16","0",819
"24",16,2010-08-29,2010-09-13,"ndvi.16","buffalo",15,"16","0",819
"25",17,2010-09-14,2010-09-29,"ndvi.17","gazelleThomsons",1086,"17","1",6
"26",17,2010-09-14,2010-09-29,"ndvi.17","zebra",173,"17","1",6
"27",17,2010-09-14,2010-09-29,"ndvi.17","topi",24,"17","1",6
"28",17,2010-09-14,2010-09-29,"ndvi.17","wildebeest",11,"17","0",1393
"29",17,2010-09-14,2010-09-29,"ndvi.17","hartebeest",67,"17","0",1393
"30",17,2010-09-14,2010-09-29,"ndvi.17","buffalo",38,"17","0",1393
"31",18,2010-09-30,2010-10-15,"ndvi.18","gazelleThomsons",795,"18","1",10
"32",18,2010-09-30,2010-10-15,"ndvi.18","topi",30,"18","1",10
"33",18,2010-09-30,2010-10-15,"ndvi.18","zebra",284,"18","1",10
"34",18,2010-09-30,2010-10-15,"ndvi.18","wildebeest",19,"18","0",1252
"35",18,2010-09-30,2010-10-15,"ndvi.18","hartebeest",90,"18","0",1252
"36",18,2010-09-30,2010-10-15,"ndvi.18","buffalo",44,"18","0",1252
"37",19,2010-10-16,2010-10-31,"ndvi.19","gazelleThomsons",575,"19","1",9
"38",19,2010-10-16,2010-10-31,"ndvi.19","zebra",302,"19","1",9
"39",19,2010-10-16,2010-10-31,"ndvi.19","wildebeest",28,"19","0",1040
"40",19,2010-10-16,2010-10-31,"ndvi.19","hartebeest",87,"19","0",1040
"41",19,2010-10-16,2010-10-31,"ndvi.19","topi",18,"19","1",9
"42",19,2010-10-16,2010-10-31,"ndvi.19","buffalo",39,"19","0",1040
"43",20,2010-11-01,2010-11-16,"ndvi.20","gazelleThomsons",193,"20","1",1
"44",20,2010-11-01,2010-11-16,"ndvi.20","zebra",55,"20","1",1
"45",20,2010-11-01,2010-11-16,"ndvi.20","wildebeest",9,"20","0",296
"46",20,2010-11-01,2010-11-16,"ndvi.20","topi",2,"20","1",1
"47",20,2010-11-01,2010-11-16,"ndvi.20","hartebeest",26,"20","0",296
"48",20,2010-11-01,2010-11-16,"ndvi.20","buffalo",12,"20","0",296
"49",26,2011-02-02,2011-02-17,"ndvi.26","gazelleThomsons",8,"26","1",9
"50",26,2011-02-02,2011-02-17,"ndvi.26","zebra",42,"26","1",9
"51",26,2011-02-02,2011-02-17,"ndvi.26","topi",0,"26","1",9
"52",26,2011-02-02,2011-02-17,"ndvi.26","wildebeest",29,"26","0",96
"53",26,2011-02-02,2011-02-17,"ndvi.26","hartebeest",5,"26","0",96
"54",26,2011-02-02,2011-02-17,"ndvi.26","buffalo",21,"26","0",96
"55",27,2011-02-18,2011-03-05,"ndvi.27","gazelleThomsons",213,"27","1",9
"56",27,2011-02-18,2011-03-05,"ndvi.27","topi",16,"27","1",9
"57",27,2011-02-18,2011-03-05,"ndvi.27","zebra",452,"27","1",9
"58",27,2011-02-18,2011-03-05,"ndvi.27","wildebeest",95,"27","0",935
"59",27,2011-02-18,2011-03-05,"ndvi.27","hartebeest",85,"27","0",935
"60",27,2011-02-18,2011-03-05,"ndvi.27","buffalo",83,"27","0",935
"61",28,2011-03-06,2011-03-21,"ndvi.28","gazelleThomsons",136,"28","1",65
"62",28,2011-03-06,2011-03-21,"ndvi.28","zebra",1270,"28","1",65
"63",28,2011-03-06,2011-03-21,"ndvi.28","wildebeest",509,"28","0",2126
"64",28,2011-03-06,2011-03-21,"ndvi.28","hartebeest",128,"28","0",2126
"65",28,2011-03-06,2011-03-21,"ndvi.28","topi",37,"28","1",65
"66",28,2011-03-06,2011-03-21,"ndvi.28","buffalo",111,"28","0",2126
"67",29,2011-03-22,2011-04-06,"ndvi.29","gazelleThomsons",47,"29","1",10
"68",29,2011-03-22,2011-04-06,"ndvi.29","zebra",344,"29","1",10
"69",29,2011-03-22,2011-04-06,"ndvi.29","wildebeest",156,"29","0",731
"70",29,2011-03-22,2011-04-06,"ndvi.29","topi",12,"29","1",10
"71",29,2011-03-22,2011-04-06,"ndvi.29","hartebeest",53,"29","0",731
"72",29,2011-03-22,2011-04-06,"ndvi.29","buffalo",129,"29","0",731
"73",30,2011-04-07,2011-04-22,"ndvi.30","hartebeest",63,"30","0",524
"74",30,2011-04-07,2011-04-22,"ndvi.30","zebra",180,"30","1",8
"75",30,2011-04-07,2011-04-22,"ndvi.30","topi",59,"30","1",8
"76",30,2011-04-07,2011-04-22,"ndvi.30","gazelleThomsons",51,"30","1",8
"77",30,2011-04-07,2011-04-22,"ndvi.30","wildebeest",85,"30","0",524
"78",30,2011-04-07,2011-04-22,"ndvi.30","buffalo",94,"30","0",524
"79",31,2011-04-23,2011-05-08,"ndvi.31","gazelleThomsons",161,"31","1",5
"80",31,2011-04-23,2011-05-08,"ndvi.31","buffalo",86,"31","0",673
"81",31,2011-04-23,2011-05-08,"ndvi.31","zebra",170,"31","1",5
"82",31,2011-04-23,2011-05-08,"ndvi.31","hartebeest",75,"31","0",673
"83",31,2011-04-23,2011-05-08,"ndvi.31","wildebeest",162,"31","0",673
"84",31,2011-04-23,2011-05-08,"ndvi.31","topi",24,"31","1",5
"85",32,2011-05-09,2011-05-24,"ndvi.32","gazelleThomsons",230,"32","1",84
"86",32,2011-05-09,2011-05-24,"ndvi.32","zebra",1014,"32","1",84
"87",32,2011-05-09,2011-05-24,"ndvi.32","hartebeest",58,"32","0",2832
"88",32,2011-05-09,2011-05-24,"ndvi.32","buffalo",88,"32","0",2832
"89",32,2011-05-09,2011-05-24,"ndvi.32","wildebeest",1511,"32","0",2832
"90",32,2011-05-09,2011-05-24,"ndvi.32","topi",15,"32","1",84
"91",33,2011-05-25,2011-06-09,"ndvi.33","hartebeest",148,"33","0",1637
"92",33,2011-05-25,2011-06-09,"ndvi.33","wildebeest",110,"33","0",1637
"93",33,2011-05-25,2011-06-09,"ndvi.33","topi",28,"33","1",17
"94",33,2011-05-25,2011-06-09,"ndvi.33","buffalo",46,"33","0",1637
"95",33,2011-05-25,2011-06-09,"ndvi.33","zebra",589,"33","1",17
"96",33,2011-05-25,2011-06-09,"ndvi.33","gazelleThomsons",733,"33","1",17
"97",34,2011-06-10,2011-06-25,"ndvi.34","hartebeest",87,"34","0",990
"98",34,2011-06-10,2011-06-25,"ndvi.34","topi",16,"34","1",5
"99",34,2011-06-10,2011-06-25,"ndvi.34","zebra",118,"34","1",5
"100",34,2011-06-10,2011-06-25,"ndvi.34","wildebeest",41,"34","0",990
"101",34,2011-06-10,2011-06-25,"ndvi.34","gazelleThomsons",704,"34","1",5
"102",34,2011-06-10,2011-06-25,"ndvi.34","buffalo",29,"34","0",990
"103",35,2011-06-26,2011-07-11,"ndvi.35","topi",16,"35","1",21
"104",35,2011-06-26,2011-07-11,"ndvi.35","gazelleThomsons",420,"35","1",21
"105",35,2011-06-26,2011-07-11,"ndvi.35","hartebeest",52,"35","0",1485
"106",35,2011-06-26,2011-07-11,"ndvi.35","buffalo",59,"35","0",1485
"107",35,2011-06-26,2011-07-11,"ndvi.35","zebra",589,"35","1",21
"108",35,2011-06-26,2011-07-11,"ndvi.35","wildebeest",370,"35","0",1485
"109",36,2011-07-12,2011-07-27,"ndvi.36","topi",18,"36","1",16
"110",36,2011-07-12,2011-07-27,"ndvi.36","gazelleThomsons",516,"36","1",16
"111",36,2011-07-12,2011-07-27,"ndvi.36","hartebeest",93,"36","0",1090
"112",36,2011-07-12,2011-07-27,"ndvi.36","buffalo",41,"36","0",1090
"113",36,2011-07-12,2011-07-27,"ndvi.36","zebra",382,"36","1",16
"114",36,2011-07-12,2011-07-27,"ndvi.36","wildebeest",56,"36","0",1090
"115",37,2011-07-28,2011-08-12,"ndvi.37","topi",3,"37","1",1
"116",37,2011-07-28,2011-08-12,"ndvi.37","hartebeest",13,"37","0",114
"117",37,2011-07-28,2011-08-12,"ndvi.37","gazelleThomsons",29,"37","1",1
"118",37,2011-07-28,2011-08-12,"ndvi.37","zebra",40,"37","1",1
"119",37,2011-07-28,2011-08-12,"ndvi.37","wildebeest",16,"37","0",114
"120",37,2011-07-28,2011-08-12,"ndvi.37","buffalo",14,"37","0",114
"121",39,2011-08-29,2011-09-13,"ndvi.39","topi",19,"39","1",2
"122",39,2011-08-29,2011-09-13,"ndvi.39","gazelleThomsons",309,"39","1",2
"123",39,2011-08-29,2011-09-13,"ndvi.39","zebra",41,"39","1",2
"124",39,2011-08-29,2011-09-13,"ndvi.39","hartebeest",18,"39","0",405
"125",39,2011-08-29,2011-09-13,"ndvi.39","buffalo",16,"39","0",405
"126",39,2011-08-29,2011-09-13,"ndvi.39","wildebeest",4,"39","0",405
"127",40,2011-09-14,2011-09-29,"ndvi.40","topi",25,"40","1",24
"128",40,2011-09-14,2011-09-29,"ndvi.40","gazelleThomsons",492,"40","1",24
"129",40,2011-09-14,2011-09-29,"ndvi.40","hartebeest",66,"40","0",1221
"130",40,2011-09-14,2011-09-29,"ndvi.40","buffalo",60,"40","0",1221
"131",40,2011-09-14,2011-09-29,"ndvi.40","zebra",574,"40","1",24
"132",40,2011-09-14,2011-09-29,"ndvi.40","wildebeest",28,"40","0",1221
"133",41,2011-09-30,2011-10-15,"ndvi.41","topi",31,"41","1",15
"134",41,2011-09-30,2011-10-15,"ndvi.41","gazelleThomsons",454,"41","1",15
"135",41,2011-09-30,2011-10-15,"ndvi.41","hartebeest",59,"41","0",1126
"136",41,2011-09-30,2011-10-15,"ndvi.41","buffalo",85,"41","0",1126
"137",41,2011-09-30,2011-10-15,"ndvi.41","zebra",425,"41","1",15
"138",41,2011-09-30,2011-10-15,"ndvi.41","wildebeest",87,"41","0",1126
"139",42,2011-10-16,2011-10-31,"ndvi.42","topi",20,"42","1",22
"140",42,2011-10-16,2011-10-31,"ndvi.42","hartebeest",121,"42","0",1375
"141",42,2011-10-16,2011-10-31,"ndvi.42","gazelleThomsons",595,"42","1",22
"142",42,2011-10-16,2011-10-31,"ndvi.42","zebra",434,"42","1",22
"143",42,2011-10-16,2011-10-31,"ndvi.42","wildebeest",114,"42","0",1375
"144",42,2011-10-16,2011-10-31,"ndvi.42","buffalo",113,"42","0",1375
"145",43,2011-11-01,2011-11-16,"ndvi.43","topi",26,"43","1",139
"146",43,2011-11-01,2011-11-16,"ndvi.43","gazelleThomsons",164,"43","1",139
"147",43,2011-11-01,2011-11-16,"ndvi.43","zebra",1551,"43","1",139
"148",43,2011-11-01,2011-11-16,"ndvi.43","hartebeest",121,"43","0",3788
"149",43,2011-11-01,2011-11-16,"ndvi.43","buffalo",118,"43","0",3788
"150",43,2011-11-01,2011-11-16,"ndvi.43","wildebeest",1947,"43","0",3788
"151",44,2011-11-17,2011-12-02,"ndvi.44","zebra",883,"44","1",50
"152",44,2011-11-17,2011-12-02,"ndvi.44","topi",20,"44","1",50
"153",44,2011-11-17,2011-12-02,"ndvi.44","hartebeest",71,"44","0",2061
"154",44,2011-11-17,2011-12-02,"ndvi.44","wildebeest",1011,"44","0",2061
"155",44,2011-11-17,2011-12-02,"ndvi.44","gazelleThomsons",24,"44","1",50
"156",44,2011-11-17,2011-12-02,"ndvi.44","buffalo",102,"44","0",2061
"157",45,2011-12-03,2011-12-18,"ndvi.45","gazelleThomsons",9,"45","1",4
"158",45,2011-12-03,2011-12-18,"ndvi.45","zebra",73,"45","1",4
"159",45,2011-12-03,2011-12-18,"ndvi.45","hartebeest",73,"45","0",306
"160",45,2011-12-03,2011-12-18,"ndvi.45","buffalo",109,"45","0",306
"161",45,2011-12-03,2011-12-18,"ndvi.45","wildebeest",22,"45","0",306
"162",45,2011-12-03,2011-12-18,"ndvi.45","topi",24,"45","1",4
"163",46,2011-12-19,2011-12-31,"ndvi.46","gazelleThomsons",10,"46","1",0
"164",46,2011-12-19,2011-12-31,"ndvi.46","hartebeest",30,"46","0",249
"165",46,2011-12-19,2011-12-31,"ndvi.46","buffalo",105,"46","0",249
"166",46,2011-12-19,2011-12-31,"ndvi.46","zebra",62,"46","1",0
"167",46,2011-12-19,2011-12-31,"ndvi.46","wildebeest",27,"46","0",249
"168",46,2011-12-19,2011-12-31,"ndvi.46","topi",15,"46","1",0
"169",47,2012-01-01,2012-01-16,"ndvi.47","gazelleThomsons",3,"47","1",3
"170",47,2012-01-01,2012-01-16,"ndvi.47","buffalo",80,"47","0",296
"171",47,2012-01-01,2012-01-16,"ndvi.47","zebra",52,"47","1",3
"172",47,2012-01-01,2012-01-16,"ndvi.47","wildebeest",90,"47","0",296
"173",47,2012-01-01,2012-01-16,"ndvi.47","topi",13,"47","1",3
"174",47,2012-01-01,2012-01-16,"ndvi.47","hartebeest",61,"47","0",296
"175",48,2012-01-17,2012-02-01,"ndvi.48","topi",25,"48","1",1
"176",48,2012-01-17,2012-02-01,"ndvi.48","buffalo",50,"48","0",280
"177",48,2012-01-17,2012-02-01,"ndvi.48","zebra",11,"48","1",1
"178",48,2012-01-17,2012-02-01,"ndvi.48","hartebeest",115,"48","0",280
"179",48,2012-01-17,2012-02-01,"ndvi.48","wildebeest",55,"48","0",280
"180",48,2012-01-17,2012-02-01,"ndvi.48","gazelleThomsons",25,"48","1",1
"181",49,2012-02-02,2012-02-17,"ndvi.49","topi",18,"49","1",32
"182",49,2012-02-02,2012-02-17,"ndvi.49","hartebeest",80,"49","0",1846
"183",49,2012-02-02,2012-02-17,"ndvi.49","zebra",956,"49","1",32
"184",49,2012-02-02,2012-02-17,"ndvi.49","wildebeest",425,"49","0",1846
"185",49,2012-02-02,2012-02-17,"ndvi.49","gazelleThomsons",220,"49","1",32
"186",49,2012-02-02,2012-02-17,"ndvi.49","buffalo",179,"49","0",1846
"187",50,2012-02-18,2012-03-05,"ndvi.50","topi",19,"50","1",81
"188",50,2012-02-18,2012-03-05,"ndvi.50","hartebeest",98,"50","0",2147
"189",50,2012-02-18,2012-03-05,"ndvi.50","gazelleThomsons",261,"50","1",81
"190",50,2012-02-18,2012-03-05,"ndvi.50","zebra",933,"50","1",81
"191",50,2012-02-18,2012-03-05,"ndvi.50","buffalo",148,"50","0",2147
"192",50,2012-02-18,2012-03-05,"ndvi.50","wildebeest",769,"50","0",2147
"193",51,2012-03-06,2012-03-21,"ndvi.51","topi",23,"51","1",31
"194",51,2012-03-06,2012-03-21,"ndvi.51","hartebeest",62,"51","0",1662
"195",51,2012-03-06,2012-03-21,"ndvi.51","wildebeest",759,"51","0",1662
"196",51,2012-03-06,2012-03-21,"ndvi.51","gazelleThomsons",147,"51","1",31
"197",51,2012-03-06,2012-03-21,"ndvi.51","zebra",572,"51","1",31
"198",51,2012-03-06,2012-03-21,"ndvi.51","buffalo",130,"51","0",1662
"199",52,2012-03-22,2012-04-06,"ndvi.52","topi",30,"52","1",2
"200",52,2012-03-22,2012-04-06,"ndvi.52","hartebeest",137,"52","0",791
"201",52,2012-03-22,2012-04-06,"ndvi.52","zebra",215,"52","1",2
"202",52,2012-03-22,2012-04-06,"ndvi.52","gazelleThomsons",183,"52","1",2
"203",52,2012-03-22,2012-04-06,"ndvi.52","wildebeest",124,"52","0",791
"204",52,2012-03-22,2012-04-06,"ndvi.52","buffalo",104,"52","0",791
"205",53,2012-04-07,2012-04-22,"ndvi.53","topi",16,"53","1",50
"206",53,2012-04-07,2012-04-22,"ndvi.53","hartebeest",62,"53","0",1566
"207",53,2012-04-07,2012-04-22,"ndvi.53","zebra",491,"53","1",50
"208",53,2012-04-07,2012-04-22,"ndvi.53","wildebeest",890,"53","0",1566
"209",53,2012-04-07,2012-04-22,"ndvi.53","gazelleThomsons",58,"53","1",50
"210",53,2012-04-07,2012-04-22,"ndvi.53","buffalo",99,"53","0",1566
"211",54,2012-04-23,2012-05-08,"ndvi.54","topi",16,"54","1",5
"212",54,2012-04-23,2012-05-08,"ndvi.54","hartebeest",46,"54","0",434
"213",54,2012-04-23,2012-05-08,"ndvi.54","gazelleThomsons",28,"54","1",5
"214",54,2012-04-23,2012-05-08,"ndvi.54","zebra",211,"54","1",5
"215",54,2012-04-23,2012-05-08,"ndvi.54","buffalo",70,"54","0",434
"216",54,2012-04-23,2012-05-08,"ndvi.54","wildebeest",68,"54","0",434
"217",55,2012-05-09,2012-05-24,"ndvi.55","topi",6,"55","1",27
"218",55,2012-05-09,2012-05-24,"ndvi.55","hartebeest",43,"55","0",793
